vendor_id,vendor_name,source,source_index,source_vendor_name,item_id,title,description,price_cents,category,tags,calories,protein,fat,carbs,ingest_ts,calories_imputed,calories_confidence,calories_source,local_match_score,local_match_name
51ef1dc9,healthybee,vendor_menus.json,0,Healthybee,hb-i1,Paneer Sprouts Salad,"Cottage cheese, mixed sprouts, cucumber, tomato, light dressing.",259,,['high-protein' 'low-calorie' 'low-sodium'],180.0,12.0,8.0,10.0,2025-12-16T13:42:42.742658,,,,,
51ef1dc9,healthybee,vendor_menus.json,1,Healthybee,hb-i2,Quinoa & Roasted Veg Bowl,"Quinoa, seasonal roasted vegetables, seeds.",220,,['high-fiber' 'low-calorie' 'balanced-meal'],320.0,9.0,8.0,45.0,2025-12-16T13:42:42.742686,,,,,
3264c85c,swad gomantak,vendor_menus.json,0,Swad Gomantak,sg-i1,Grilled Fish Thali (light),"Grilled fish, brown rice, salad; minimal oil.",299,,['low-sodium' 'high-protein'],380.0,32.0,10.0,38.0,2025-12-16T13:42:42.742700,,,,,
3264c85c,swad gomantak,vendor_menus.json,1,Swad Gomantak,sg-i2,Veg Pulao (light),Mixed veg pulao with light seasoning.,150,,['light-clean' 'balanced-meal'],260.0,6.0,4.0,52.0,2025-12-16T13:42:42.742704,,,,,
991883c1,shree krishna veg,vendor_menus.json,0,Shree Krishna Veg,skv-i1,Moong Dal Chilla Wrap,Moong dal chilla stuffed with greens.,120,,['high-protein-snack' 'low-calorie'],160.0,11.0,4.0,18.0,2025-12-16T13:42:42.742712,,,,,
51ef1dc9,healthybee,partner_menus.json,0,Healthybee,51ef1dc9-0,Paneer Sprouts Salad,,259,,,265.0,,,,2025-12-16T13:42:42.742736,True,0.9,local_indian_nutrition,90.0,paneer
51ef1dc9,healthybee,partner_menus.json,1,Healthybee,51ef1dc9-1,Spinach Paneer Bhurji Chapati Meal,,294,,,297.0,,,,2025-12-16T13:42:42.742745,True,0.9,local_indian_nutrition,90.0,chapati
51ef1dc9,healthybee,partner_menus.json,2,Healthybee,51ef1dc9-2,Non-Veg High Protein Meal Box,,401,,,,,,,2025-12-16T13:42:42.742751,,,,,
51ef1dc9,healthybee,partner_menus.json,3,Healthybee,51ef1dc9-3,Rajma Masala Brown Rice Meal Box,,319,,,127.0,,,,2025-12-16T13:42:42.742756,True,0.9,local_indian_nutrition,90.0,rajma
51ef1dc9,healthybee,partner_menus.json,4,Healthybee,51ef1dc9-4,Protein Rich Chickpea Curry Brown Rice Meal Box,,314,,,130.0,,,,2025-12-16T13:42:42.742761,True,0.6,local_indian_nutrition,85.5,rice white cooked
51ef1dc9,healthybee,partner_menus.json,5,Healthybee,51ef1dc9-5,Chicken Tikka Wrap,,265,,,148.0,,,,2025-12-16T13:42:42.742765,True,0.9,local_indian_nutrition,95.0,chicken tikka
51ef1dc9,healthybee,partner_menus.json,6,Healthybee,51ef1dc9-6,Protein Rich Chickpea Wrap,,257,,,,,,,2025-12-16T13:42:42.742769,,,,,
51ef1dc9,healthybee,partner_menus.json,7,Healthybee,51ef1dc9-7,Strawberry Banana Chia Smoothie,,209,,,89.0,,,,2025-12-16T13:42:42.742774,True,0.9,local_indian_nutrition,90.0,banana
51ef1dc9,healthybee,partner_menus.json,8,Healthybee,51ef1dc9-8,Protein Rich Chickpea Sandwich,,200,,,,,,,2025-12-16T13:42:42.742778,,,,,
51ef1dc9,healthybee,partner_menus.json,9,Healthybee,51ef1dc9-9,Chicken Tikka Sandwich,,208,,,148.0,,,,2025-12-16T13:42:42.742782,True,0.9,local_indian_nutrition,90.0,chicken tikka
51ef1dc9,healthybee,partner_menus.json,10,Healthybee,51ef1dc9-10,Only Peri Peri Grilled Chicken [200 gm],,349,,,165.0,,,,2025-12-16T13:42:42.742786,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,11,Healthybee,51ef1dc9-11,Purple Rice,,169,,,130.0,,,,2025-12-16T13:42:42.742791,True,0.6,local_indian_nutrition,85.5,rice white cooked
51ef1dc9,healthybee,partner_menus.json,12,Healthybee,51ef1dc9-12,Quinoa Chicken Tabbouleh Salad,,349,,,165.0,,,,2025-12-16T13:42:42.742795,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,13,Healthybee,51ef1dc9-13,Quinoa Paneer Tabbouleh Salad,,319,,,265.0,,,,2025-12-16T13:42:42.742799,True,0.9,local_indian_nutrition,90.0,paneer
51ef1dc9,healthybee,partner_menus.json,14,Healthybee,51ef1dc9-14,Paneer Burrito Bowl,,319,,,265.0,,,,2025-12-16T13:42:42.742803,True,0.9,local_indian_nutrition,90.0,paneer
51ef1dc9,healthybee,partner_menus.json,15,Healthybee,51ef1dc9-15,Chicken Grilled Sandwich,,197,,,165.0,,,,2025-12-16T13:42:42.742808,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,16,Healthybee,51ef1dc9-16,Paneer Tikka Grilled Sandwich,,208,,,265.0,,,,2025-12-16T13:42:42.742812,True,0.9,local_indian_nutrition,90.0,paneer
51ef1dc9,healthybee,partner_menus.json,17,Healthybee,51ef1dc9-17,Veg Grilled Sandwich,,169,,,,,,,2025-12-16T13:42:42.742816,,,,,
51ef1dc9,healthybee,partner_menus.json,18,Healthybee,51ef1dc9-18,Punjabi Club Grilled Sandwich,,251,,,,,,,2025-12-16T13:42:42.742820,,,,,
51ef1dc9,healthybee,partner_menus.json,19,Healthybee,51ef1dc9-19,Chicken Coleslaw Sandwich,,192,,,165.0,,,,2025-12-16T13:42:42.742824,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,20,Healthybee,51ef1dc9-20,Omelette Chicken Decker Sandwich,,299,,,154.0,,,,2025-12-16T13:42:42.742831,True,0.9,local_indian_nutrition,90.0,omelette
51ef1dc9,healthybee,partner_menus.json,21,Healthybee,51ef1dc9-21,Veg Sandwich,,136,,,,,,,2025-12-16T13:42:42.742835,,,,,
51ef1dc9,healthybee,partner_menus.json,22,Healthybee,51ef1dc9-22,Chicken Mayo Grilled Sandwich,,219,,,165.0,,,,2025-12-16T13:42:42.742839,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,23,Healthybee,51ef1dc9-23,Bite into the goodness of chicken and mayonnaise enveloped in multi-grain grilled sandwich.,,181,,,165.0,,,,2025-12-16T13:42:42.742844,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,24,Healthybee,51ef1dc9-24,Boiled Egg Sandwich,,181,,,155.0,,,,2025-12-16T13:42:42.742849,True,0.6,local_indian_nutrition,85.5,egg boiled
51ef1dc9,healthybee,partner_menus.json,25,Healthybee,51ef1dc9-25,Veg Coleslaw Sandwich,,169,,,,,,,2025-12-16T13:42:42.742855,,,,,
51ef1dc9,healthybee,partner_menus.json,26,Healthybee,51ef1dc9-26,Cheese Chilli Grilled Sandwich,,191,,,,,,,2025-12-16T13:42:42.742860,,,,,
51ef1dc9,healthybee,partner_menus.json,27,Healthybee,51ef1dc9-27,Paneer Peri Peri Salad,,279,,,265.0,,,,2025-12-16T13:42:42.742864,True,0.9,local_indian_nutrition,90.0,paneer
51ef1dc9,healthybee,partner_menus.json,28,Healthybee,51ef1dc9-28,Peri - Peri Chicken Salad,,299,,,165.0,,,,2025-12-16T13:42:42.742868,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,29,Healthybee,51ef1dc9-29,Jamaican Jerk Chicken Salad,,299,,,165.0,,,,2025-12-16T13:42:42.742872,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,30,Healthybee,51ef1dc9-30,Basil Pesto Chicken Salad,,299,,,165.0,,,,2025-12-16T13:42:42.742876,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,31,Healthybee,51ef1dc9-31,Creamy Garlic Chicken Salad,,319,,,165.0,,,,2025-12-16T13:42:42.742880,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,32,Healthybee,51ef1dc9-32,Steamed Chicken Salad - Lean Protein,,299,,,165.0,,,,2025-12-16T13:42:42.742884,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,33,Healthybee,51ef1dc9-33,Zesty Herbs Grilled Paneer Salad,,279,,,265.0,,,,2025-12-16T13:42:42.742888,True,0.9,local_indian_nutrition,90.0,paneer
51ef1dc9,healthybee,partner_menus.json,34,Healthybee,51ef1dc9-34,Classic Grill Chicken Salad,,299,,,165.0,,,,2025-12-16T13:42:42.742893,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,35,Healthybee,51ef1dc9-35,Sprouts Salad,,194,,,30.0,,,,2025-12-16T13:42:42.742897,True,0.9,local_indian_nutrition,90.0,sprouts
51ef1dc9,healthybee,partner_menus.json,36,Healthybee,51ef1dc9-36,Fruit Sprouts Salad,,230,,,30.0,,,,2025-12-16T13:42:42.742901,True,0.9,local_indian_nutrition,90.0,sprouts
51ef1dc9,healthybee,partner_menus.json,37,Healthybee,51ef1dc9-37,Paneer Salad,,240,,,265.0,,,,2025-12-16T13:42:42.742905,True,0.9,local_indian_nutrition,90.0,paneer
51ef1dc9,healthybee,partner_menus.json,38,Healthybee,51ef1dc9-38,Boiled Eggs Salad,,204,,,155.0,,,,2025-12-16T13:42:42.742909,True,0.6,local_indian_nutrition,85.5,egg boiled
51ef1dc9,healthybee,partner_menus.json,39,Healthybee,51ef1dc9-39,Chickpea Beetroot Salad,,249,,,25.0,,,,2025-12-16T13:42:42.742913,True,0.6,local_indian_nutrition,85.5,salad mixed
51ef1dc9,healthybee,partner_menus.json,40,Healthybee,51ef1dc9-40,Corn Sprouts Salad,,194,,,30.0,,,,2025-12-16T13:42:42.742917,True,0.9,local_indian_nutrition,90.0,sprouts
51ef1dc9,healthybee,partner_menus.json,41,Healthybee,51ef1dc9-41,Corn Salad,,194,,,,,,,2025-12-16T13:42:42.742921,,,,,
51ef1dc9,healthybee,partner_menus.json,42,Healthybee,51ef1dc9-42,Chicken Curry Brown Rice Meal Box,,324,,,165.0,,,,2025-12-16T13:42:42.742925,True,0.9,local_indian_nutrition,90.0,chicken curry
51ef1dc9,healthybee,partner_menus.json,43,Healthybee,51ef1dc9-43,Palak Paneer Chapati Meal Box,,274,,,297.0,,,,2025-12-16T13:42:42.742930,True,0.9,local_indian_nutrition,90.0,chapati
51ef1dc9,healthybee,partner_menus.json,44,Healthybee,51ef1dc9-44,Protein Rich Chickpea Curry Chapati Meal Box,,294,,,297.0,,,,2025-12-16T13:42:42.742934,True,0.9,local_indian_nutrition,90.0,chapati
51ef1dc9,healthybee,partner_menus.json,45,Healthybee,51ef1dc9-45,Chicken Curry Chapati Meal Box,,299,,,297.0,,,,2025-12-16T13:42:42.742938,True,0.9,local_indian_nutrition,90.0,chapati
51ef1dc9,healthybee,partner_menus.json,46,Healthybee,51ef1dc9-46,Palak Paneer Brown Rice Meal Box,,294,,,265.0,,,,2025-12-16T13:42:42.742942,True,0.9,local_indian_nutrition,90.0,paneer
51ef1dc9,healthybee,partner_menus.json,47,Healthybee,51ef1dc9-47,Rajma Masala Chapati Meal Box,,309,,,297.0,,,,2025-12-16T13:42:42.742946,True,0.9,local_indian_nutrition,90.0,chapati
51ef1dc9,healthybee,partner_menus.json,48,Healthybee,51ef1dc9-48,Paneer Wrap,,251,,,265.0,,,,2025-12-16T13:42:42.742950,True,0.9,local_indian_nutrition,90.0,paneer
51ef1dc9,healthybee,partner_menus.json,49,Healthybee,51ef1dc9-49,Chicken Egg Wrap,,284,,,155.0,,,,2025-12-16T13:42:42.742954,True,0.6,local_indian_nutrition,85.5,egg boiled
51ef1dc9,healthybee,partner_menus.json,50,Healthybee,51ef1dc9-50,"Packed with eggs, chicken, and vegetables, this wheat paratha wrap is prepared in olive oil.",,207,,,321.0,,,,2025-12-16T13:42:42.742958,True,0.6,local_indian_nutrition,85.5,paratha plain
51ef1dc9,healthybee,partner_menus.json,51,Healthybee,51ef1dc9-51,Corn Veggie Wrap,,207,,,,,,,2025-12-16T13:42:42.742962,,,,,
51ef1dc9,healthybee,partner_menus.json,52,Healthybee,51ef1dc9-52,Chicken Wrap,,262,,,,,,,2025-12-16T13:42:42.742966,,,,,
51ef1dc9,healthybee,partner_menus.json,53,Healthybee,51ef1dc9-53,Egg Wrap,,207,,,,,,,2025-12-16T13:42:42.742971,,,,,
51ef1dc9,healthybee,partner_menus.json,54,Healthybee,51ef1dc9-54,Spinach Egg White Omelette (Protein &amp; Iron Rich),,189,,,154.0,,,,2025-12-16T13:42:42.742975,True,0.9,local_indian_nutrition,90.0,omelette
51ef1dc9,healthybee,partner_menus.json,55,Healthybee,51ef1dc9-55,Chicken Omelette ( Lean Protein Source ),,249,,,154.0,,,,2025-12-16T13:42:42.742979,True,0.9,local_indian_nutrition,90.0,omelette
51ef1dc9,healthybee,partner_menus.json,56,Healthybee,51ef1dc9-56,Double Deck Chicken Omelette,,259,,,154.0,,,,2025-12-16T13:42:42.742983,True,0.9,local_indian_nutrition,90.0,omelette
51ef1dc9,healthybee,partner_menus.json,57,Healthybee,51ef1dc9-57,Spinach Egg White Bhurji (Protein &amp; Iron Rich),,249,,,130.0,,,,2025-12-16T13:42:42.742987,True,0.6,local_indian_nutrition,85.5,rice white cooked
51ef1dc9,healthybee,partner_menus.json,58,Healthybee,51ef1dc9-58,Boiled Eggs (3 Pcs),,89,,,155.0,,,,2025-12-16T13:42:42.742991,True,0.6,local_indian_nutrition,85.5,egg boiled
51ef1dc9,healthybee,partner_menus.json,59,Healthybee,51ef1dc9-59,"Masala Omelette (Healthy Bhi, Desi Bhi)",,159,,,154.0,,,,2025-12-16T13:42:42.742995,True,0.9,local_indian_nutrition,90.0,omelette
51ef1dc9,healthybee,partner_menus.json,60,Healthybee,51ef1dc9-60,Chicken Brown Rice Bowl,,299,,,165.0,,,,2025-12-16T13:42:42.742999,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,61,Healthybee,51ef1dc9-61,Paneer Brown Rice Bowl,,274,,,265.0,,,,2025-12-16T13:42:42.743003,True,0.9,local_indian_nutrition,90.0,paneer
51ef1dc9,healthybee,partner_menus.json,62,Healthybee,51ef1dc9-62,Veg Brown Rice Bowl,,240,,,,,,,2025-12-16T13:42:42.743007,,,,,
51ef1dc9,healthybee,partner_menus.json,63,Healthybee,51ef1dc9-63,Egg Brown Rice Bowl,,274,,,155.0,,,,2025-12-16T13:42:42.743011,True,0.6,local_indian_nutrition,85.5,egg boiled
51ef1dc9,healthybee,partner_menus.json,64,Healthybee,51ef1dc9-64,Banana Date Smoothie,,220,,,89.0,,,,2025-12-16T13:42:42.743017,True,0.9,local_indian_nutrition,90.0,banana
51ef1dc9,healthybee,partner_menus.json,65,Healthybee,51ef1dc9-65,Banana Milkshake,,139,,,89.0,,,,2025-12-16T13:42:42.743021,True,0.9,local_indian_nutrition,90.0,banana
51ef1dc9,healthybee,partner_menus.json,66,Healthybee,51ef1dc9-66,Apple Banana Milkshake,,165,,,89.0,,,,2025-12-16T13:42:42.743025,True,0.9,local_indian_nutrition,90.0,banana
51ef1dc9,healthybee,partner_menus.json,67,Healthybee,51ef1dc9-67,"Healthy and flavorful shake prepared with milk, apple, and banana.",,155,,,,,,,2025-12-16T13:42:42.743030,,,,,
51ef1dc9,healthybee,partner_menus.json,68,Healthybee,51ef1dc9-68,Apple Milkshake,,155,,,52.0,,,,2025-12-16T13:42:42.743034,True,0.9,local_indian_nutrition,90.0,apple
51ef1dc9,healthybee,partner_menus.json,69,Healthybee,51ef1dc9-69,Pomegranate Juice [sugar-free],,165,,,,,,,2025-12-16T13:42:42.743038,,,,,
51ef1dc9,healthybee,partner_menus.json,70,Healthybee,51ef1dc9-70,Basil Papaya Juice [sugar-free],,155,,,,,,,2025-12-16T13:42:42.743042,,,,,
51ef1dc9,healthybee,partner_menus.json,71,Healthybee,51ef1dc9-71,Carrot Beetroot Juice [sugar-free],,155,,,,,,,2025-12-16T13:42:42.743048,,,,,
51ef1dc9,healthybee,partner_menus.json,72,Healthybee,51ef1dc9-72,Basil Watermelon Juice [sugar-free],,155,,,,,,,2025-12-16T13:42:42.743052,,,,,
51ef1dc9,healthybee,partner_menus.json,73,Healthybee,51ef1dc9-73,Balance Fruit Bowl,,184,,,,,,,2025-12-16T13:42:42.743056,,,,,
51ef1dc9,healthybee,partner_menus.json,74,Healthybee,51ef1dc9-74,Fruit Custard Bowl,,169,,,,,,,2025-12-16T13:42:42.743060,,,,,
51ef1dc9,healthybee,partner_menus.json,75,Healthybee,51ef1dc9-75,Quinoa Chickpea Tabbouleh Salad,,279,,,120.0,,,,2025-12-16T13:42:42.743064,True,0.6,local_indian_nutrition,85.5,quinoa cooked
51ef1dc9,healthybee,partner_menus.json,76,Healthybee,51ef1dc9-76,Peanut Butter Fruits Oatmeal,,249,,,235.0,,,,2025-12-16T13:42:42.743068,True,0.6,local_indian_nutrition,85.5,butter chicken
51ef1dc9,healthybee,partner_menus.json,77,Healthybee,51ef1dc9-77,Fruit Milk Oats,,179,,,,,,,2025-12-16T13:42:42.743073,,,,,
51ef1dc9,healthybee,partner_menus.json,78,Healthybee,51ef1dc9-78,Milk Oats,,149,,,,,,,2025-12-16T13:42:42.743077,,,,,
51ef1dc9,healthybee,partner_menus.json,79,Healthybee,51ef1dc9-79,Brown Rice (200 gm),,140,,,,,,,2025-12-16T13:42:42.743081,,,,,
51ef1dc9,healthybee,partner_menus.json,80,Healthybee,51ef1dc9-80,Beetroot Chapati (1 Pc),,35,,,297.0,,,,2025-12-16T13:42:42.743085,True,0.9,local_indian_nutrition,90.0,chapati
51ef1dc9,healthybee,partner_menus.json,81,Healthybee,51ef1dc9-81,Parsley Dip,,39,,,,,,,2025-12-16T13:42:42.743089,,,,,
51ef1dc9,healthybee,partner_menus.json,82,Healthybee,51ef1dc9-82,Spinach Chapati (1 Pc),,35,,,297.0,,,,2025-12-16T13:42:42.743093,True,0.9,local_indian_nutrition,90.0,chapati
51ef1dc9,healthybee,partner_menus.json,83,Healthybee,51ef1dc9-83,Chicken Burrito Bowl,,339,,,165.0,,,,2025-12-16T13:42:42.743098,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,84,Healthybee,51ef1dc9-84,Cucumber Mint Lemonade,,129,,,,,,,2025-12-16T13:42:42.743102,,,,,
51ef1dc9,healthybee,partner_menus.json,85,Healthybee,51ef1dc9-85,Honey Ginger Lemonade,,129,,,,,,,2025-12-16T13:42:42.743106,,,,,
51ef1dc9,healthybee,partner_menus.json,86,Healthybee,51ef1dc9-86,Classic Lemonade,,90,,,,,,,2025-12-16T13:42:42.743110,,,,,
51ef1dc9,healthybee,partner_menus.json,87,Healthybee,51ef1dc9-87,P P L Detox [sugar-free],,184,,,,,,,2025-12-16T13:42:42.743114,,,,,
3264c85c,swad gomantak,partner_menus.json,88,Swad Gomantak,3264c85c-88,Surmai Thali,,650,,,,,,,2025-12-16T13:42:42.743119,,,,,
3264c85c,swad gomantak,partner_menus.json,89,Swad Gomantak,3264c85c-89,Pomfret Thali,,770,,,,,,,2025-12-16T13:42:42.743123,,,,,
3264c85c,swad gomantak,partner_menus.json,90,Swad Gomantak,3264c85c-90,Chicken Malvani Thali,,400,,,165.0,,,,2025-12-16T13:42:42.743128,True,0.6,local_indian_nutrition,85.5,chicken curry
3264c85c,swad gomantak,partner_menus.json,91,Swad Gomantak,3264c85c-91,Gomanntak Special Seafood Thali,,890,,,,,,,2025-12-16T13:42:42.743132,,,,,
3264c85c,swad gomantak,partner_menus.json,92,Swad Gomantak,3264c85c-92,Gomanntak Konkan Special Thali,,790,,,,,,,2025-12-16T13:42:42.743136,,,,,
3264c85c,swad gomantak,partner_menus.json,93,Swad Gomantak,3264c85c-93,Prawns Thali,,650,,,,,,,2025-12-16T13:42:42.743141,,,,,
3264c85c,swad gomantak,partner_menus.json,94,Swad Gomantak,3264c85c-94,Crab Thali,,650,,,,,,,2025-12-16T13:42:42.743145,,,,,
3264c85c,swad gomantak,partner_menus.json,95,Swad Gomantak,3264c85c-95,Bangda Thali,,450,,,,,,,2025-12-16T13:42:42.743149,,,,,
3264c85c,swad gomantak,partner_menus.json,96,Swad Gomantak,3264c85c-96,Bombil Thali,,450,,,,,,,2025-12-16T13:42:42.743153,,,,,
3264c85c,swad gomantak,partner_menus.json,97,Swad Gomantak,3264c85c-97,Mandeli Thali,,350,,,,,,,2025-12-16T13:42:42.743158,,,,,
3264c85c,swad gomantak,partner_menus.json,98,Swad Gomantak,3264c85c-98,Veg Thali,,250,,,,,,,2025-12-16T13:42:42.743162,,,,,
3264c85c,swad gomantak,partner_menus.json,99,Swad Gomantak,3264c85c-99,Egg Thali,,210,,,,,,,2025-12-16T13:42:42.743166,,,,,
3264c85c,swad gomantak,partner_menus.json,100,Swad Gomantak,3264c85c-100,Mutton Malvani Thali,,600,,,,,,,2025-12-16T13:42:42.743171,,,,,
