item_id,vendor_id,vendor_name,source,source_index,source_vendor_name,title,description,price_cents,category,tags,calories,protein,fat,carbs,ingest_ts,calories_imputed_model,calories_source,calories_confidence,model_pred_calories,model_calories_confidence
hb-i1,51ef1dc9,healthybee,vendor_menus.json,0,Healthybee,Paneer Sprouts Salad,"Cottage cheese, mixed sprouts, cucumber, tomato, light dressing.",259,,['high-protein' 'low-calorie' 'low-sodium'],180.0,12.0,8.0,10.0,2025-12-16T13:42:42.742658,,,,155.47906492932947,0.7
hb-i2,51ef1dc9,healthybee,vendor_menus.json,1,Healthybee,Quinoa & Roasted Veg Bowl,"Quinoa, seasonal roasted vegetables, seeds.",220,,['high-fiber' 'low-calorie' 'balanced-meal'],320.0,9.0,8.0,45.0,2025-12-16T13:42:42.742686,,,,304.12448293677625,0.7
sg-i1,3264c85c,swad gomantak,vendor_menus.json,0,Swad Gomantak,Grilled Fish Thali (light),"Grilled fish, brown rice, salad; minimal oil.",299,,['low-sodium' 'high-protein'],380.0,32.0,10.0,38.0,2025-12-16T13:42:42.742700,,,,325.66542613587256,0.7
sg-i2,3264c85c,swad gomantak,vendor_menus.json,1,Swad Gomantak,Veg Pulao (light),Mixed veg pulao with light seasoning.,150,,['light-clean' 'balanced-meal'],260.0,6.0,4.0,52.0,2025-12-16T13:42:42.742704,,,,252.34845595252102,0.7
skv-i1,991883c1,shree krishna veg,vendor_menus.json,0,Shree Krishna Veg,Moong Dal Chilla Wrap,Moong dal chilla stuffed with greens.,120,,['high-protein-snack' 'low-calorie'],160.0,11.0,4.0,18.0,2025-12-16T13:42:42.742712,,,,163.09963839134574,0.7
51ef1dc9-0,51ef1dc9,healthybee,partner_menus.json,0,Healthybee,Paneer Sprouts Salad,,259,,,161.9514766924047,,,,2025-12-16T13:42:42.742736,True,manual_review,1.0,148.3416540273115,0.7
51ef1dc9-1,51ef1dc9,healthybee,partner_menus.json,1,Healthybee,Spinach Paneer Bhurji Chapati Meal,,294,,,293.59723095701713,,,,2025-12-16T13:42:42.742745,True,manual_review,1.0,289.61415401650703,0.7
51ef1dc9-2,51ef1dc9,healthybee,partner_menus.json,2,Healthybee,Non-Veg High Protein Meal Box,,401,,,239.75630196920707,,,,2025-12-16T13:42:42.742751,True,manual_review,1.0,237.45780534676211,0.7
51ef1dc9-3,51ef1dc9,healthybee,partner_menus.json,3,Healthybee,Rajma Masala Brown Rice Meal Box,,319,,,140.56576944219438,,,,2025-12-16T13:42:42.742756,True,manual_review,1.0,150.67582010117647,0.7
51ef1dc9-4,51ef1dc9,healthybee,partner_menus.json,4,Healthybee,Protein Rich Chickpea Curry Brown Rice Meal Box,,314,,,207.05693007371215,,,,2025-12-16T13:42:42.742761,True,manual_review,1.0,208.07234834996595,0.7
51ef1dc9-5,51ef1dc9,healthybee,partner_menus.json,5,Healthybee,Chicken Tikka Wrap,,265,,,153.27408260524118,,,,2025-12-16T13:42:42.742765,True,manual_review,1.0,156.69893983843477,0.7
51ef1dc9-6,51ef1dc9,healthybee,partner_menus.json,6,Healthybee,Protein Rich Chickpea Wrap,,257,,,218.87410614645069,,,,2025-12-16T13:42:42.742769,True,manual_review,1.0,216.81131654073417,0.7
51ef1dc9-7,51ef1dc9,healthybee,partner_menus.json,7,Healthybee,Strawberry Banana Chia Smoothie,,209,,,95.97577063508014,,,,2025-12-16T13:42:42.742774,True,manual_review,1.0,102.13592542170501,0.7
51ef1dc9-8,51ef1dc9,healthybee,partner_menus.json,8,Healthybee,Protein Rich Chickpea Sandwich,,200,,,207.64367751596825,,,,2025-12-16T13:42:42.742778,True,manual_review,1.0,207.95700499615467,0.7
51ef1dc9-9,51ef1dc9,healthybee,partner_menus.json,9,Healthybee,Chicken Tikka Sandwich,,208,,,148.94204847455933,,,,2025-12-16T13:42:42.742782,True,manual_review,1.0,150.25358348225996,0.7
51ef1dc9-10,51ef1dc9,healthybee,partner_menus.json,10,Healthybee,Only Peri Peri Grilled Chicken [200 gm],,349,,,253.55245421637443,,,,2025-12-16T13:42:42.742786,True,manual_review,1.0,216.5290375465333,0.7
51ef1dc9-11,51ef1dc9,healthybee,partner_menus.json,11,Healthybee,Purple Rice,,169,,,167.14108795095393,,,,2025-12-16T13:42:42.742791,True,manual_review,1.0,168.7589650705628,0.7
51ef1dc9-12,51ef1dc9,healthybee,partner_menus.json,12,Healthybee,Quinoa Chicken Tabbouleh Salad,,349,,,203.7442753732924,,,,2025-12-16T13:42:42.742795,True,manual_review,1.0,202.85552450216778,0.7
51ef1dc9-13,51ef1dc9,healthybee,partner_menus.json,13,Healthybee,Quinoa Paneer Tabbouleh Salad,,319,,,259.2241063004478,,,,2025-12-16T13:42:42.742799,True,manual_review,1.0,253.97548150581665,0.7
51ef1dc9-14,51ef1dc9,healthybee,partner_menus.json,14,Healthybee,Paneer Burrito Bowl,,319,,,249.2240597727543,,,,2025-12-16T13:42:42.742803,True,manual_review,1.0,247.00097947934492,0.7
51ef1dc9-15,51ef1dc9,healthybee,partner_menus.json,15,Healthybee,Chicken Grilled Sandwich,,197,,,198.47130501279185,,,,2025-12-16T13:42:42.742808,True,manual_review,1.0,198.02902431333118,0.7
51ef1dc9-16,51ef1dc9,healthybee,partner_menus.json,16,Healthybee,Paneer Tikka Grilled Sandwich,,208,,,226.24802560289905,,,,2025-12-16T13:42:42.742812,True,manual_review,1.0,226.4493452662941,0.7
51ef1dc9-17,51ef1dc9,healthybee,partner_menus.json,17,Healthybee,Veg Grilled Sandwich,,169,,,223.6415823631425,,,,2025-12-16T13:42:42.742816,True,manual_review,1.0,217.72737589294337,0.7
51ef1dc9-18,51ef1dc9,healthybee,partner_menus.json,18,Healthybee,Punjabi Club Grilled Sandwich,,251,,,213.30159263123895,,,,2025-12-16T13:42:42.742820,True,manual_review,1.0,212.76805066805144,0.7
51ef1dc9-19,51ef1dc9,healthybee,partner_menus.json,19,Healthybee,Chicken Coleslaw Sandwich,,192,,,159.32754482699448,,,,2025-12-16T13:42:42.742824,True,manual_review,1.0,161.09577887305392,0.7
51ef1dc9-20,51ef1dc9,healthybee,partner_menus.json,20,Healthybee,Omelette Chicken Decker Sandwich,,299,,,155.66971291968687,,,,2025-12-16T13:42:42.742831,True,manual_review,1.0,166.95703482658385,0.7
51ef1dc9-21,51ef1dc9,healthybee,partner_menus.json,21,Healthybee,Veg Sandwich,,136,,,195.59119032481533,,,,2025-12-16T13:42:42.742835,True,manual_review,1.0,194.36264785734798,0.7
51ef1dc9-22,51ef1dc9,healthybee,partner_menus.json,22,Healthybee,Chicken Mayo Grilled Sandwich,,219,,,198.47130501279185,,,,2025-12-16T13:42:42.742839,True,manual_review,1.0,198.25680657599432,0.7
51ef1dc9-23,51ef1dc9,healthybee,partner_menus.json,23,Healthybee,Bite into the goodness of chicken and mayonnaise enveloped in multi-grain grilled sandwich.,,181,,,198.47130501279185,,,,2025-12-16T13:42:42.742844,True,manual_review,1.0,198.42321124739868,0.7
51ef1dc9-24,51ef1dc9,healthybee,partner_menus.json,24,Healthybee,Boiled Egg Sandwich,,181,,,143.74070405982,,,,2025-12-16T13:42:42.742849,True,manual_review,1.0,144.77984556729524,0.7
51ef1dc9-25,51ef1dc9,healthybee,partner_menus.json,25,Healthybee,Veg Coleslaw Sandwich,,169,,,195.59119032481533,,,,2025-12-16T13:42:42.742855,True,manual_review,1.0,183.94956071748976,0.7
51ef1dc9-26,51ef1dc9,healthybee,partner_menus.json,26,Healthybee,Cheese Chilli Grilled Sandwich,,191,,,213.30159263123895,,,,2025-12-16T13:42:42.742860,True,manual_review,1.0,212.58415391245762,0.7
51ef1dc9-27,51ef1dc9,healthybee,partner_menus.json,27,Healthybee,Paneer Peri Peri Salad,,279,,,258.01999321236207,,,,2025-12-16T13:42:42.742864,True,manual_review,1.0,250.88019233826506,0.7
51ef1dc9-28,51ef1dc9,healthybee,partner_menus.json,28,Healthybee,Peri - Peri Chicken Salad,,299,,,210.69991239975803,,,,2025-12-16T13:42:42.742868,True,manual_review,1.0,187.61594124452324,0.7
51ef1dc9-29,51ef1dc9,healthybee,partner_menus.json,29,Healthybee,Jamaican Jerk Chicken Salad,,299,,,119.7039219703512,,,,2025-12-16T13:42:42.742872,True,manual_review,1.0,122.98626217633812,0.7
51ef1dc9-30,51ef1dc9,healthybee,partner_menus.json,30,Healthybee,Basil Pesto Chicken Salad,,299,,,119.7039219703512,,,,2025-12-16T13:42:42.742876,True,manual_review,1.0,122.91172468302021,0.7
51ef1dc9-31,51ef1dc9,healthybee,partner_menus.json,31,Healthybee,Creamy Garlic Chicken Salad,,319,,,119.7039219703512,,,,2025-12-16T13:42:42.742880,True,manual_review,1.0,122.98172330088516,0.7
51ef1dc9-32,51ef1dc9,healthybee,partner_menus.json,32,Healthybee,Steamed Chicken Salad - Lean Protein,,299,,,156.06749584246722,,,,2025-12-16T13:42:42.742884,True,manual_review,1.0,156.49960667354276,0.7
51ef1dc9-33,51ef1dc9,healthybee,partner_menus.json,33,Healthybee,Zesty Herbs Grilled Paneer Salad,,279,,,259.5166711051805,,,,2025-12-16T13:42:42.742888,True,manual_review,1.0,253.62535969978973,0.7
51ef1dc9-34,51ef1dc9,healthybee,partner_menus.json,34,Healthybee,Classic Grill Chicken Salad,,299,,,119.7039219703512,,,,2025-12-16T13:42:42.742893,True,manual_review,1.0,139.8725805615809,0.7
51ef1dc9-35,51ef1dc9,healthybee,partner_menus.json,35,Healthybee,Sprouts Salad,,194,,,48.92196680725704,,,,2025-12-16T13:42:42.742897,True,manual_review,1.0,61.02381296193482,0.7
51ef1dc9-36,51ef1dc9,healthybee,partner_menus.json,36,Healthybee,Fruit Sprouts Salad,,230,,,40.36885037411554,,,,2025-12-16T13:42:42.742901,True,manual_review,1.0,49.87561403983182,0.7
51ef1dc9-37,51ef1dc9,healthybee,partner_menus.json,37,Healthybee,Paneer Salad,,240,,,210.5113496937364,,,,2025-12-16T13:42:42.742905,True,manual_review,1.0,199.01493751025995,0.7
51ef1dc9-38,51ef1dc9,healthybee,partner_menus.json,38,Healthybee,Boiled Eggs Salad,,204,,,135.63816977001315,,,,2025-12-16T13:42:42.742909,True,manual_review,1.0,137.54123702792592,0.7
51ef1dc9-39,51ef1dc9,healthybee,partner_menus.json,39,Healthybee,Chickpea Beetroot Salad,,249,,,183.457320509629,,,,2025-12-16T13:42:42.742913,True,manual_review,1.0,182.95339565487532,0.7
51ef1dc9-40,51ef1dc9,healthybee,partner_menus.json,40,Healthybee,Corn Sprouts Salad,,194,,,40.36885037411554,,,,2025-12-16T13:42:42.742917,True,manual_review,1.0,49.68036642091536,0.7
51ef1dc9-41,51ef1dc9,healthybee,partner_menus.json,41,Healthybee,Corn Salad,,194,,,114.7699831377132,,,,2025-12-16T13:42:42.742921,True,manual_review,1.0,131.39492481113155,0.7
51ef1dc9-42,51ef1dc9,healthybee,partner_menus.json,42,Healthybee,Chicken Curry Brown Rice Meal Box,,324,,,172.49072757602647,,,,2025-12-16T13:42:42.742925,True,manual_review,1.0,177.6897474448372,0.7
51ef1dc9-43,51ef1dc9,healthybee,partner_menus.json,43,Healthybee,Palak Paneer Chapati Meal Box,,274,,,302.1933309390877,,,,2025-12-16T13:42:42.742930,True,manual_review,1.0,301.5549562476018,0.7
51ef1dc9-44,51ef1dc9,healthybee,partner_menus.json,44,Healthybee,Protein Rich Chickpea Curry Chapati Meal Box,,294,,,292.04947755309814,,,,2025-12-16T13:42:42.742934,True,manual_review,1.0,287.0025035465965,0.7
51ef1dc9-45,51ef1dc9,healthybee,partner_menus.json,45,Healthybee,Chicken Curry Chapati Meal Box,,299,,,282.0738242087336,,,,2025-12-16T13:42:42.742938,True,manual_review,1.0,273.2895546652046,0.7
51ef1dc9-46,51ef1dc9,healthybee,partner_menus.json,46,Healthybee,Palak Paneer Brown Rice Meal Box,,294,,,251.24301526399609,,,,2025-12-16T13:42:42.742942,True,manual_review,1.0,242.60276932336959,0.7
51ef1dc9-47,51ef1dc9,healthybee,partner_menus.json,47,Healthybee,Rajma Masala Chapati Meal Box,,309,,,222.1645603191496,,,,2025-12-16T13:42:42.742946,True,manual_review,1.0,224.52907425119514,0.7
51ef1dc9-48,51ef1dc9,healthybee,partner_menus.json,48,Healthybee,Paneer Wrap,,251,,,258.6822317672699,,,,2025-12-16T13:42:42.742950,True,manual_review,1.0,252.94265429487592,0.7
51ef1dc9-49,51ef1dc9,healthybee,partner_menus.json,49,Healthybee,Chicken Egg Wrap,,284,,,159.75791039092562,,,,2025-12-16T13:42:42.742954,True,manual_review,1.0,160.6223507417291,0.7
51ef1dc9-50,51ef1dc9,healthybee,partner_menus.json,50,Healthybee,"Packed with eggs, chicken, and vegetables, this wheat paratha wrap is prepared in olive oil.",,207,,,165.61171660741994,,,,2025-12-16T13:42:42.742958,True,manual_review,1.0,189.24536718388924,0.7
51ef1dc9-51,51ef1dc9,healthybee,partner_menus.json,51,Healthybee,Corn Veggie Wrap,,207,,,166.5792053383477,,,,2025-12-16T13:42:42.742962,True,manual_review,1.0,181.93700366260848,0.7
51ef1dc9-52,51ef1dc9,healthybee,partner_menus.json,52,Healthybee,Chicken Wrap,,262,,,180.16270429281553,,,,2025-12-16T13:42:42.742966,True,manual_review,1.0,179.92835141927983,0.7
51ef1dc9-53,51ef1dc9,healthybee,partner_menus.json,53,Healthybee,Egg Wrap,,207,,,174.04490179763636,,,,2025-12-16T13:42:42.742971,True,manual_review,1.0,173.84571554219974,0.7
51ef1dc9-54,51ef1dc9,healthybee,partner_menus.json,54,Healthybee,Spinach Egg White Omelette (Protein &amp; Iron Rich),,189,,,157.46717680540857,,,,2025-12-16T13:42:42.742975,True,manual_review,1.0,159.98423330944937,0.7
51ef1dc9-55,51ef1dc9,healthybee,partner_menus.json,55,Healthybee,Chicken Omelette ( Lean Protein Source ),,249,,,156.17305937650792,,,,2025-12-16T13:42:42.742979,True,manual_review,1.0,157.93231035513682,0.7
51ef1dc9-56,51ef1dc9,healthybee,partner_menus.json,56,Healthybee,Double Deck Chicken Omelette,,259,,,155.7582602832888,,,,2025-12-16T13:42:42.742983,True,manual_review,1.0,157.17348246073283,0.7
51ef1dc9-57,51ef1dc9,healthybee,partner_menus.json,57,Healthybee,Spinach Egg White Bhurji (Protein &amp; Iron Rich),,249,,,170.1476790198509,,,,2025-12-16T13:42:42.742987,True,manual_review,1.0,170.93070126478852,0.7
51ef1dc9-58,51ef1dc9,healthybee,partner_menus.json,58,Healthybee,Boiled Eggs (3 Pcs),,89,,,165.69510578291667,,,,2025-12-16T13:42:42.742991,True,manual_review,1.0,166.54794914690083,0.7
51ef1dc9-59,51ef1dc9,healthybee,partner_menus.json,59,Healthybee,"Masala Omelette (Healthy Bhi, Desi Bhi)",,159,,,181.9101029692392,,,,2025-12-16T13:42:42.742995,True,manual_review,1.0,181.99412033794042,0.7
51ef1dc9-60,51ef1dc9,healthybee,partner_menus.json,60,Healthybee,Chicken Brown Rice Bowl,,299,,,186.10511245377091,,,,2025-12-16T13:42:42.742999,True,manual_review,1.0,186.47081033692547,0.7
51ef1dc9-61,51ef1dc9,healthybee,partner_menus.json,61,Healthybee,Paneer Brown Rice Bowl,,274,,,243.7646228482736,,,,2025-12-16T13:42:42.743003,True,manual_review,1.0,242.08958967761373,0.7
51ef1dc9-62,51ef1dc9,healthybee,partner_menus.json,62,Healthybee,Veg Brown Rice Bowl,,240,,,208.613466441624,,,,2025-12-16T13:42:42.743007,True,manual_review,1.0,207.43630707400135,0.7
51ef1dc9-63,51ef1dc9,healthybee,partner_menus.json,63,Healthybee,Egg Brown Rice Bowl,,274,,,181.5141111495551,,,,2025-12-16T13:42:42.743011,True,manual_review,1.0,182.54893481871667,0.7
51ef1dc9-64,51ef1dc9,healthybee,partner_menus.json,64,Healthybee,Banana Date Smoothie,,220,,,95.85381794090912,,,,2025-12-16T13:42:42.743017,True,manual_review,1.0,101.70898675501877,0.7
51ef1dc9-65,51ef1dc9,healthybee,partner_menus.json,65,Healthybee,Banana Milkshake,,139,,,91.6185582146488,,,,2025-12-16T13:42:42.743021,True,manual_review,1.0,109.34199674604315,0.7
51ef1dc9-66,51ef1dc9,healthybee,partner_menus.json,66,Healthybee,Apple Banana Milkshake,,165,,,89.13717120907903,,,,2025-12-16T13:42:42.743025,True,manual_review,1.0,97.44250859675812,0.7
51ef1dc9-67,51ef1dc9,healthybee,partner_menus.json,67,Healthybee,"Healthy and flavorful shake prepared with milk, apple, and banana.",,155,,,129.25225762380347,,,,2025-12-16T13:42:42.743030,True,manual_review,1.0,175.21378046628735,0.7
51ef1dc9-68,51ef1dc9,healthybee,partner_menus.json,68,Healthybee,Apple Milkshake,,155,,,63.88993403417882,,,,2025-12-16T13:42:42.743034,True,manual_review,1.0,143.41958410261597,0.7
51ef1dc9-69,51ef1dc9,healthybee,partner_menus.json,69,Healthybee,Pomegranate Juice [sugar-free],,165,,,167.28626289329247,,,,2025-12-16T13:42:42.743038,True,manual_review,1.0,168.92186519993388,0.7
51ef1dc9-70,51ef1dc9,healthybee,partner_menus.json,70,Healthybee,Basil Papaya Juice [sugar-free],,155,,,167.28626289329247,,,,2025-12-16T13:42:42.743042,True,manual_review,1.0,173.13637783881455,0.7
51ef1dc9-71,51ef1dc9,healthybee,partner_menus.json,71,Healthybee,Carrot Beetroot Juice [sugar-free],,155,,,209.24520489992327,,,,2025-12-16T13:42:42.743048,True,manual_review,1.0,183.30522202680368,0.7
51ef1dc9-72,51ef1dc9,healthybee,partner_menus.json,72,Healthybee,Basil Watermelon Juice [sugar-free],,155,,,167.28626289329247,,,,2025-12-16T13:42:42.743052,True,manual_review,1.0,173.13637783881455,0.7
51ef1dc9-73,51ef1dc9,healthybee,partner_menus.json,73,Healthybee,Balance Fruit Bowl,,184,,,195.69552879636527,,,,2025-12-16T13:42:42.743056,True,manual_review,1.0,202.74794254000636,0.7
51ef1dc9-74,51ef1dc9,healthybee,partner_menus.json,74,Healthybee,Fruit Custard Bowl,,169,,,195.69552879636527,,,,2025-12-16T13:42:42.743060,True,manual_review,1.0,202.74794254000636,0.7
51ef1dc9-75,51ef1dc9,healthybee,partner_menus.json,75,Healthybee,Quinoa Chickpea Tabbouleh Salad,,279,,,222.69419568229029,,,,2025-12-16T13:42:42.743064,True,manual_review,1.0,221.62331132006463,0.7
51ef1dc9-76,51ef1dc9,healthybee,partner_menus.json,76,Healthybee,Peanut Butter Fruits Oatmeal,,249,,,205.49110552052156,,,,2025-12-16T13:42:42.743068,True,manual_review,1.0,204.5943369915703,0.7
51ef1dc9-77,51ef1dc9,healthybee,partner_menus.json,77,Healthybee,Fruit Milk Oats,,179,,,138.3752334869614,,,,2025-12-16T13:42:42.743073,True,manual_review,1.0,159.07378533193682,0.7
51ef1dc9-78,51ef1dc9,healthybee,partner_menus.json,78,Healthybee,Milk Oats,,149,,,167.28626289329247,,,,2025-12-16T13:42:42.743077,True,manual_review,1.0,169.4567064994682,0.7
51ef1dc9-79,51ef1dc9,healthybee,partner_menus.json,79,Healthybee,Brown Rice (200 gm),,140,,,156.47240537687125,,,,2025-12-16T13:42:42.743081,True,manual_review,1.0,158.676579493619,0.7
51ef1dc9-80,51ef1dc9,healthybee,partner_menus.json,80,Healthybee,Beetroot Chapati (1 Pc),,35,,,291.9126253421801,,,,2025-12-16T13:42:42.743085,True,manual_review,1.0,287.221014969992,0.7
51ef1dc9-81,51ef1dc9,healthybee,partner_menus.json,81,Healthybee,Parsley Dip,,39,,,167.28626289329247,,,,2025-12-16T13:42:42.743089,True,manual_review,1.0,169.49937095993806,0.7
51ef1dc9-82,51ef1dc9,healthybee,partner_menus.json,82,Healthybee,Spinach Chapati (1 Pc),,35,,,292.2595169618141,,,,2025-12-16T13:42:42.743093,True,manual_review,1.0,287.6273848793195,0.7
51ef1dc9-83,51ef1dc9,healthybee,partner_menus.json,83,Healthybee,Chicken Burrito Bowl,,339,,,208.70793490661976,,,,2025-12-16T13:42:42.743098,True,manual_review,1.0,208.19027104494566,0.7
51ef1dc9-84,51ef1dc9,healthybee,partner_menus.json,84,Healthybee,Cucumber Mint Lemonade,,129,,,167.28626289329247,,,,2025-12-16T13:42:42.743102,True,manual_review,1.0,169.06965689238862,0.7
51ef1dc9-85,51ef1dc9,healthybee,partner_menus.json,85,Healthybee,Honey Ginger Lemonade,,129,,,167.28626289329247,,,,2025-12-16T13:42:42.743106,True,manual_review,1.0,180.64713671026905,0.7
51ef1dc9-86,51ef1dc9,healthybee,partner_menus.json,86,Healthybee,Classic Lemonade,,90,,,167.28626289329247,,,,2025-12-16T13:42:42.743110,True,manual_review,1.0,168.87164907261825,0.7
51ef1dc9-87,51ef1dc9,healthybee,partner_menus.json,87,Healthybee,P P L Detox [sugar-free],,184,,,167.28626289329247,,,,2025-12-16T13:42:42.743114,True,manual_review,1.0,168.7920555135592,0.7
3264c85c-88,3264c85c,swad gomantak,partner_menus.json,88,Swad Gomantak,Surmai Thali,,650,,,263.9483539963847,,,,2025-12-16T13:42:42.743119,True,manual_review,1.0,260.94568799114643,0.7
3264c85c-89,3264c85c,swad gomantak,partner_menus.json,89,Swad Gomantak,Pomfret Thali,,770,,,263.9483539963847,,,,2025-12-16T13:42:42.743123,True,manual_review,1.0,263.2003226294111,0.7
3264c85c-90,3264c85c,swad gomantak,partner_menus.json,90,Swad Gomantak,Chicken Malvani Thali,,400,,,238.9530793112242,,,,2025-12-16T13:42:42.743128,True,manual_review,1.0,239.28785856316887,0.7
3264c85c-91,3264c85c,swad gomantak,partner_menus.json,91,Swad Gomantak,Gomanntak Special Seafood Thali,,890,,,263.9483539963847,,,,2025-12-16T13:42:42.743132,True,manual_review,1.0,261.3992179464997,0.7
3264c85c-92,3264c85c,swad gomantak,partner_menus.json,92,Swad Gomantak,Gomanntak Konkan Special Thali,,790,,,263.9483539963847,,,,2025-12-16T13:42:42.743136,True,manual_review,1.0,261.01329425840817,0.7
3264c85c-93,3264c85c,swad gomantak,partner_menus.json,93,Swad Gomantak,Prawns Thali,,650,,,263.9483539963847,,,,2025-12-16T13:42:42.743141,True,manual_review,1.0,264.1462966346191,0.7
3264c85c-94,3264c85c,swad gomantak,partner_menus.json,94,Swad Gomantak,Crab Thali,,650,,,263.9483539963847,,,,2025-12-16T13:42:42.743145,True,manual_review,1.0,263.3683912595987,0.7
3264c85c-95,3264c85c,swad gomantak,partner_menus.json,95,Swad Gomantak,Bangda Thali,,450,,,263.9483539963847,,,,2025-12-16T13:42:42.743149,True,manual_review,1.0,263.1876043871297,0.7
3264c85c-96,3264c85c,swad gomantak,partner_menus.json,96,Swad Gomantak,Bombil Thali,,450,,,263.9483539963847,,,,2025-12-16T13:42:42.743153,True,manual_review,1.0,259.7091565956235,0.7
3264c85c-97,3264c85c,swad gomantak,partner_menus.json,97,Swad Gomantak,Mandeli Thali,,350,,,263.9483539963847,,,,2025-12-16T13:42:42.743158,True,manual_review,1.0,262.85745884806863,0.7
3264c85c-98,3264c85c,swad gomantak,partner_menus.json,98,Swad Gomantak,Veg Thali,,250,,,268.43352559587225,,,,2025-12-16T13:42:42.743162,True,manual_review,1.0,268.6261596349283,0.7
3264c85c-99,3264c85c,swad gomantak,partner_menus.json,99,Swad Gomantak,Egg Thali,,210,,,228.9557145988802,,,,2025-12-16T13:42:42.743166,True,manual_review,1.0,230.612973267241,0.7
3264c85c-100,3264c85c,swad gomantak,partner_menus.json,100,Swad Gomantak,Mutton Malvani Thali,,600,,,263.9483539963847,,,,2025-12-16T13:42:42.743171,True,manual_review,1.0,261.6575935521045,0.7
3264c85c-101,3264c85c,swad gomantak,partner_menus.json,101,Swad Gomantak,Surmai Curry,,689,,,189.56055133016685,,,,2025-12-16T13:42:42.743175,True,manual_review,1.0,190.7704578305911,0.7
3264c85c-102,3264c85c,swad gomantak,partner_menus.json,102,Swad Gomantak,Surmai Konkan Curry,,689,,,189.56055133016685,,,,2025-12-16T13:42:42.743180,True,manual_review,1.0,189.98842752721887,0.7
3264c85c-103,3264c85c,swad gomantak,partner_menus.json,103,Swad Gomantak,Surmai Tawa Masala,,495,,,216.15593958455543,,,,2025-12-16T13:42:42.743184,True,manual_review,1.0,216.64886241278163,0.7
3264c85c-104,3264c85c,swad gomantak,partner_menus.json,104,Swad Gomantak,Surmai Tikhale,,689,,,231.9229926582528,,,,2025-12-16T13:42:42.743189,True,manual_review,1.0,231.30695856557404,0.7
3264c85c-105,3264c85c,swad gomantak,partner_menus.json,105,Swad Gomantak,Prawns Konkan Curry,,589,,,189.56055133016685,,,,2025-12-16T13:42:42.743194,True,manual_review,1.0,190.45398968132588,0.7
3264c85c-106,3264c85c,swad gomantak,partner_menus.json,106,Swad Gomantak,Prawns Masala,,589,,,216.15593958455543,,,,2025-12-16T13:42:42.743198,True,manual_review,1.0,216.5362741888478,0.7
3264c85c-107,3264c85c,swad gomantak,partner_menus.json,107,Swad Gomantak,Prawns Sukka,,589,,,231.9229926582528,,,,2025-12-16T13:42:42.743202,True,manual_review,1.0,231.36968710750202,0.7
3264c85c-108,3264c85c,swad gomantak,partner_menus.json,108,Swad Gomantak,Prawns Curry,,589,,,189.56055133016685,,,,2025-12-16T13:42:42.743206,True,manual_review,1.0,198.22936333160217,0.7
3264c85c-109,3264c85c,swad gomantak,partner_menus.json,109,Swad Gomantak,Chicken Kombdi Vade,,590,,,199.4532884713104,,,,2025-12-16T13:42:42.743211,True,manual_review,1.0,200.25964656976,0.7
3264c85c-110,3264c85c,swad gomantak,partner_menus.json,110,Swad Gomantak,Chicken Malwani Handi,,390,,,212.29074587833185,,,,2025-12-16T13:42:42.743215,True,manual_review,1.0,212.79795883802925,0.7
3264c85c-111,3264c85c,swad gomantak,partner_menus.json,111,Swad Gomantak,Chicken Curry,,350,,,173.25154232735164,,,,2025-12-16T13:42:42.743219,True,manual_review,1.0,174.7610312241648,0.7
