item_id,vendor_name,title,calories,calories_confidence,calories_source,model_pred_calories,abs_diff
51ef1dc9-68,healthybee,Apple Milkshake,143.41958410261597,0.7,model_regressor,143.41958410261597,79.52965006843715
sg-i1,swad gomantak,Grilled Fish Thali (light),325.66542613587256,0.7,model_regressor,325.66542613587256,54.334573864127435
51ef1dc9-67,healthybee,"Healthy and flavorful shake prepared with milk, apple, and banana.",175.21378046628735,0.7,model_regressor,175.21378046628735,45.96152284248387
51ef1dc9-10,healthybee,Only Peri Peri Grilled Chicken [200 gm],216.5290375465333,0.7,model_regressor,216.5290375465333,37.02341666984114
51ef1dc9-71,healthybee,Carrot Beetroot Juice [sugar-free],183.30522202680368,0.7,model_regressor,183.30522202680368,25.93998287311959
hb-i1,healthybee,Paneer Sprouts Salad,155.47906492932947,0.7,model_regressor,155.47906492932947,24.520935070670532
51ef1dc9-50,healthybee,"Packed with eggs, chicken, and vegetables, this wheat paratha wrap is prepared in olive oil.",189.24536718388924,0.7,model_regressor,189.24536718388924,23.633650576469307
51ef1dc9-28,healthybee,Peri - Peri Chicken Salad,187.61594124452324,0.7,model_regressor,187.61594124452324,23.083971155234792
51ef1dc9-77,healthybee,Fruit Milk Oats,159.07378533193682,0.7,model_regressor,159.07378533193682,20.698551844975412
51ef1dc9-34,healthybee,Classic Grill Chicken Salad,139.8725805615809,0.7,model_regressor,139.8725805615809,20.1686585912297
51ef1dc9-65,healthybee,Banana Milkshake,109.34199674604315,0.7,model_regressor,109.34199674604315,17.723438531394365
51ef1dc9-41,healthybee,Corn Salad,131.39492481113155,0.7,model_regressor,131.39492481113155,16.62494167341835
hb-i2,healthybee,Quinoa & Roasted Veg Bowl,304.12448293677625,0.7,model_regressor,304.12448293677625,15.875517063223754
3264c85c-188,swad gomantak,Kokum Sharbat,216.07711424604256,0.7,model_regressor,216.07711424604256,15.845878412210254
51ef1dc9-51,healthybee,Corn Veggie Wrap,181.93700366260848,0.7,model_regressor,181.93700366260848,15.357798324260784
ac4ec427-397,shree krishna veg es,Special Fruit Salad With Icecream,172.1898812456499,0.7,model_regressor,172.1898812456499,13.898609542182982
51ef1dc9-0,healthybee,Paneer Sprouts Salad,148.3416540273115,0.7,model_regressor,148.3416540273115,13.60982266509319
51ef1dc9-85,healthybee,Honey Ginger Lemonade,180.64713671026905,0.7,model_regressor,180.64713671026905,13.360873816976579
51ef1dc9-35,healthybee,Sprouts Salad,61.02381296193482,0.7,model_regressor,61.02381296193482,12.101846154677787
51ef1dc9-25,healthybee,Veg Coleslaw Sandwich,183.94956071748976,0.7,model_regressor,183.94956071748976,11.64162960732557
51ef1dc9-37,healthybee,Paneer Salad,199.01493751025995,0.7,model_regressor,199.01493751025995,11.496412183476423
3264c85c-190,swad gomantak,Roasted Papad,240.44660957733296,0.7,model_regressor,240.44660957733296,11.337000080058118
51ef1dc9-20,healthybee,Omelette Chicken Decker Sandwich,166.95703482658385,0.7,model_regressor,166.95703482658385,11.287321906896977
3264c85c-119,swad gomantak,Chicken Tawa Masala,188.1243244847352,0.7,model_regressor,188.1243244847352,10.495070242052464
51ef1dc9-3,healthybee,Rajma Masala Brown Rice Meal Box,150.67582010117647,0.7,model_regressor,150.67582010117647,10.11005065898209
3264c85c-163,swad gomantak,Tossed Crab,221.9143924401426,0.7,model_regressor,221.9143924401426,10.008600218110217
3264c85c-226,swad gomantak,Chicken Clear Soup,208.98621704470403,0.7,model_regressor,208.98621704470403,9.532928573393633
51ef1dc9-36,healthybee,Fruit Sprouts Salad,49.87561403983182,0.7,model_regressor,49.87561403983182,9.506763665716278
51ef1dc9-40,healthybee,Corn Sprouts Salad,49.68036642091536,0.7,model_regressor,49.68036642091536,9.311516046799824
ac4ec427-412,shree krishna veg es,Dal Tadka,167.13438566764893,0.7,model_regressor,167.13438566764893,9.097535584717576
3264c85c-132,swad gomantak,Mutton Sukka Dry,223.11107028732985,0.7,model_regressor,223.11107028732985,8.811922370922957
51ef1dc9-45,healthybee,Chicken Curry Chapati Meal Box,273.2895546652046,0.7,model_regressor,273.2895546652046,8.784269543528978
3264c85c-108,swad gomantak,Prawns Curry,198.22936333160217,0.7,model_regressor,198.22936333160217,8.668812001435327
3264c85c-176,swad gomantak,Bangada Tawa Fry,223.26901945660063,0.7,model_regressor,223.26901945660063,8.653973201652178
51ef1dc9-46,healthybee,Palak Paneer Brown Rice Meal Box,242.60276932336959,0.7,model_regressor,242.60276932336959,8.6402459406265
51ef1dc9-66,healthybee,Apple Banana Milkshake,97.44250859675812,0.7,model_regressor,97.44250859675812,8.305337387679089
3264c85c-209,swad gomantak,Dal Khichdi,137.1155798734651,0.7,model_regressor,137.1155798734651,7.867464680522687
3264c85c-152,swad gomantak,Green Peas Masala,208.3335071428422,0.7,model_regressor,208.3335071428422,7.822432441713261
3264c85c-149,swad gomantak,Paneer Butter Masala,252.868773313688,0.7,model_regressor,252.868773313688,7.7077998527707905
sg-i2,swad gomantak,Veg Pulao (light),252.34845595252102,0.7,model_regressor,252.34845595252102,7.651544047478978
3264c85c-203,swad gomantak,Prawns Biryani,214.09629873901582,0.7,model_regressor,214.09629873901582,7.297937030591413
51ef1dc9-27,healthybee,Paneer Peri Peri Salad,250.88019233826506,0.7,model_regressor,250.88019233826506,7.139800874097006
51ef1dc9-73,healthybee,Balance Fruit Bowl,202.74794254000636,0.7,model_regressor,202.74794254000636,7.052413743641097
51ef1dc9-74,healthybee,Fruit Custard Bowl,202.74794254000636,0.7,model_regressor,202.74794254000636,7.052413743641097
3264c85c-204,swad gomantak,Mutton Biryani,213.38780233946113,0.7,model_regressor,213.38780233946113,6.589440631036723
51ef1dc9-7,healthybee,Strawberry Banana Chia Smoothie,102.13592542170501,0.7,model_regressor,102.13592542170501,6.160154786624872
51ef1dc9-17,healthybee,Veg Grilled Sandwich,217.72737589294337,0.7,model_regressor,217.72737589294337,5.914206470199133
51ef1dc9-33,healthybee,Zesty Herbs Grilled Paneer Salad,253.62535969978973,0.7,model_regressor,253.62535969978973,5.891311405390752
ac4ec427-404,shree krishna veg es,Banana Boat,164.1533477070211,0.7,model_regressor,164.1533477070211,5.867543589128758
51ef1dc9-64,healthybee,Banana Date Smoothie,101.70898675501877,0.7,model_regressor,101.70898675501877,5.855168814109646
51ef1dc9-70,healthybee,Basil Papaya Juice [sugar-free],173.13637783881455,0.7,model_regressor,173.13637783881455,5.85011494552208
51ef1dc9-72,healthybee,Basil Watermelon Juice [sugar-free],173.13637783881455,0.7,model_regressor,173.13637783881455,5.85011494552208
51ef1dc9-48,healthybee,Paneer Wrap,252.94265429487592,0.7,model_regressor,252.94265429487592,5.739577472393989
51ef1dc9-13,healthybee,Quinoa Paneer Tabbouleh Salad,253.97548150581665,0.7,model_regressor,253.97548150581665,5.248624794631127
51ef1dc9-42,healthybee,Chicken Curry Brown Rice Meal Box,177.6897474448372,0.7,model_regressor,177.6897474448372,5.199019868810723
51ef1dc9-44,healthybee,Protein Rich Chickpea Curry Chapati Meal Box,287.0025035465965,0.7,model_regressor,287.0025035465965,5.046974006501671
51ef1dc9-80,healthybee,Beetroot Chapati (1 Pc),287.221014969992,0.7,model_regressor,287.221014969992,4.691610372188109
51ef1dc9-82,healthybee,Spinach Chapati (1 Pc),287.6273848793195,0.7,model_regressor,287.6273848793195,4.632132082494593
3264c85c-145,swad gomantak,Dal Fry,193.53339203952595,0.7,model_regressor,193.53339203952595,4.500574655302472
ac4ec427-244,shree krishna veg es,Maharaja Veg,194.61641060513224,0.7,model_regressor,194.61641060513224,4.474886477694469
3264c85c-96,swad gomantak,Bombil Thali,259.7091565956235,0.7,model_regressor,259.7091565956235,4.239197400761213
51ef1dc9-1,healthybee,Spinach Paneer Bhurji Chapati Meal,289.61415401650703,0.7,model_regressor,289.61415401650703,3.9830769405101023
3264c85c-157,swad gomantak,Egg Omelette,162.0365511653303,0.7,model_regressor,162.0365511653303,3.8671330731359035
ac4ec427-429,shree krishna veg es,Cheese Corn Grill S/W,171.51699735698855,0.7,model_regressor,171.51699735698855,3.7565221116849443
ac4ec427-238,shree krishna veg es,Palak Paneer,237.52090707316788,0.7,model_regressor,237.52090707316788,3.5357411055204864
51ef1dc9-5,healthybee,Chicken Tikka Wrap,156.69893983843477,0.7,model_regressor,156.69893983843477,3.424857233193592
3264c85c-158,swad gomantak,Boiled Egg,163.19168485762233,0.7,model_regressor,163.19168485762233,3.352757444301858
ac4ec427-318,shree krishna veg es,Tawa Pulav,192.02074469445054,0.7,model_regressor,192.02074469445054,3.3229622675754626
51ef1dc9-29,healthybee,Jamaican Jerk Chicken Salad,122.98626217633812,0.7,model_regressor,122.98626217633812,3.2823402059869267
51ef1dc9-31,healthybee,Creamy Garlic Chicken Salad,122.98172330088516,0.7,model_regressor,122.98172330088516,3.2778013305339755
ac4ec427-375,shree krishna veg es,Wonton Noodle Soup,191.9524025868279,0.7,model_regressor,191.9524025868279,3.2546201599528217
51ef1dc9-30,healthybee,Basil Pesto Chicken Salad,122.91172468302021,0.7,model_regressor,122.91172468302021,3.2078027126690216
ac4ec427-386,shree krishna veg es,Reshmi Tikka,183.56810145371446,0.7,model_regressor,183.56810145371446,3.1658990186393225
skv-i1,shree krishna veg,Moong Dal Chilla Wrap,163.09963839134574,0.7,model_regressor,163.09963839134574,3.099638391345735
ac4ec427-313,shree krishna veg es,Paneer Hot Pan,214.61969497304423,0.7,model_regressor,214.61969497304423,3.085627277102958
3264c85c-88,swad gomantak,Surmai Thali,260.94568799114643,0.7,model_regressor,260.94568799114643,3.002666005238268
ac4ec427-395,shree krishna veg es,Special Fruit Salad,161.2526493820385,0.7,model_regressor,161.2526493820385,2.96137767857158
3264c85c-144,swad gomantak,Veg Kadai,238.50795589218885,0.7,model_regressor,238.50795589218885,2.9415512307903384
3264c85c-92,swad gomantak,Gomanntak Konkan Special Thali,261.01329425840817,0.7,model_regressor,261.01329425840817,2.9350597379765304
3264c85c-232,swad gomantak,Chicken Oil Fry [8 Pieces],211.83355057398387,0.7,model_regressor,211.83355057398387,2.9306341323557206
3264c85c-217,swad gomantak,Chicken Kolhapuri Biryani,192.95162260630087,0.7,model_regressor,192.95162260630087,2.9113027450286495
ac4ec427-366,shree krishna veg es,Mushroom Manchurian.,191.5891615586062,0.7,model_regressor,191.5891615586062,2.891379131731128
ac4ec427-417,shree krishna veg es,Dal Fry,169.88716931927945,0.7,model_regressor,169.88716931927945,2.8536235639765835
ac4ec427-292,shree krishna veg es,Paneer Tikka Biryani.,206.5136075569115,0.7,model_regressor,206.5136075569115,2.832573765923911
3264c85c-231,swad gomantak,Chicken Tawa Fry,202.28458618355597,0.7,model_regressor,202.28458618355597,2.831297712245572
ac4ec427-272,shree krishna veg es,Mushroom Tawa Masala :,183.82020314527907,0.7,model_regressor,183.82020314527907,2.6798998417678774
3264c85c-121,swad gomantak,Tisrya Masala,213.5630546468784,0.7,model_regressor,213.5630546468784,2.5928849376770415
3264c85c-162,swad gomantak,Prawn Golden Fried,229.33481150383776,0.7,model_regressor,229.33481150383776,2.5881811544150537
ac4ec427-240,shree krishna veg es,Kofta Zaikedar,191.25766415226943,0.7,model_regressor,191.25766415226943,2.559881725394348
ac4ec427-289,shree krishna veg es,Khichadi Kadhi,191.248327033821,0.7,model_regressor,191.248327033821,2.5505446069459197
3264c85c-91,swad gomantak,Gomanntak Special Seafood Thali,261.3992179464997,0.7,model_regressor,261.3992179464997,2.5491360498850213
51ef1dc9-54,healthybee,Spinach Egg White Omelette (Protein &amp; Iron Rich),159.98423330944937,0.7,model_regressor,159.98423330944937,2.517056504040795
ac4ec427-401,shree krishna veg es,Gulab Jamun (2 Pcs),191.1842242094656,0.7,model_regressor,191.1842242094656,2.486441782590532
3264c85c-234,swad gomantak,Chapati,288.5749821856849,0.7,model_regressor,288.5749821856849,2.4335012948292842
3264c85c-191,swad gomantak,Paneer 65 [8 Piece],259.51994290854014,0.7,model_regressor,259.51994290854014,2.426507572902267
ac4ec427-400,shree krishna veg es,Fruit Salad,155.8882025142382,0.7,model_regressor,155.8882025142382,2.4030691892287166
51ef1dc9-47,healthybee,Rajma Masala Chapati Meal Box,224.52907425119514,0.7,model_regressor,224.52907425119514,2.364513932045554
ac4ec427-428,shree krishna veg es,Bread Slice 2 Pcs,191.06058106490946,0.7,model_regressor,191.06058106490946,2.362798638034377
51ef1dc9-2,healthybee,Non-Veg High Protein Meal Box,237.45780534676211,0.7,model_regressor,237.45780534676211,2.298496622444958
3264c85c-100,swad gomantak,Mutton Malvani Thali,261.6575935521045,0.7,model_regressor,261.6575935521045,2.290760444280181
ac4ec427-445,shree krishna veg es,Kesar Pista,190.937434318021,0.7,model_regressor,190.937434318021,2.239651891145911
51ef1dc9-14,healthybee,Paneer Burrito Bowl,247.00097947934492,0.7,model_regressor,247.00097947934492,2.2230802934093674
51ef1dc9-81,healthybee,Parsley Dip,169.49937095993806,0.7,model_regressor,169.49937095993806,2.2131080666455887
51ef1dc9-79,healthybee,Brown Rice (200 gm),158.676579493619,0.7,model_regressor,158.676579493619,2.204174116747737
51ef1dc9-78,healthybee,Milk Oats,169.4567064994682,0.7,model_regressor,169.4567064994682,2.1704436061757235
ac4ec427-315,shree krishna veg es,Baby Corn Golden Fried,169.88025385371446,0.7,model_regressor,169.88025385371446,2.1197786084108543
51ef1dc9-6,healthybee,Protein Rich Chickpea Wrap,216.81131654073417,0.7,model_regressor,216.81131654073417,2.0627896057165174
3264c85c-112,swad gomantak,Chicken Sukka,201.4954778749317,0.7,model_regressor,201.4954778749317,2.0421894036213075
3264c85c-115,swad gomantak,Chicken Kadai,201.43669656039688,0.7,model_regressor,201.43669656039688,1.9834080890864811
ac4ec427-245,shree krishna veg es,Paneer Butter Masala..,223.64655065343095,0.7,model_regressor,223.64655065343095,1.9805885844320414
ac4ec427-337,shree krishna veg es,Jain Green Peas Masala,183.0668241066651,0.7,model_regressor,183.0668241066651,1.9265208031539203
3264c85c-199,swad gomantak,Bombil Fry With Prawns Curry & Steamed Rice,211.65863574553705,0.7,model_regressor,211.65863574553705,1.918378475860976
3264c85c-139,swad gomantak,Mix Veg,239.53263637815775,0.7,model_regressor,239.53263637815775,1.9168707448214377
3264c85c-147,swad gomantak,Veg Saguti,239.53263637815775,0.7,model_regressor,239.53263637815775,1.9168707448214377
ac4ec427-381,shree krishna veg es,Lemon Coriander Soup,190.61228987792296,0.7,model_regressor,190.61228987792296,1.9145074510478821
51ef1dc9-38,healthybee,Boiled Eggs Salad,137.54123702792592,0.7,model_regressor,137.54123702792592,1.9030672579127668
ac4ec427-399,shree krishna veg es,Jelly With Ice Cream,190.58838249924054,0.7,model_regressor,190.58838249924054,1.8906000723654586
3264c85c-138,swad gomantak,Veg Malwani Handi,236.88544757852327,0.7,model_regressor,236.88544757852327,1.8190977916499378
3264c85c-120,swad gomantak,Tisrya Sukka,230.10735924375467,0.7,model_regressor,230.10735924375467,1.8156334144981372
3264c85c-142,swad gomantak,Matar Paneer,260.80016820634444,0.7,model_regressor,260.80016820634444,1.7836401502480044
3264c85c-151,swad gomantak,Paneer Kadhai,260.80016820634444,0.7,model_regressor,260.80016820634444,1.7836401502480044
51ef1dc9-84,healthybee,Cucumber Mint Lemonade,169.06965689238862,0.7,model_regressor,169.06965689238862,1.7833939990961483
ac4ec427-269,shree krishna veg es,Subz Chilly Milly,191.21776064204562,0.7,model_regressor,191.21776064204562,1.7820486349524742
51ef1dc9-19,healthybee,Chicken Coleslaw Sandwich,161.09577887305392,0.7,model_regressor,161.09577887305392,1.7682340460594332
ac4ec427-371,shree krishna veg es,Veg Item. Cream Of Brocolli,197.32834207817135,0.7,model_regressor,197.32834207817135,1.7629550046553675
51ef1dc9-55,healthybee,Chicken Omelette ( Lean Protein Source ),157.93231035513682,0.7,model_regressor,157.93231035513682,1.7592509786288986
3264c85c-175,swad gomantak,Pomfret Tawa Fry,230.16792976047356,0.7,model_regressor,230.16792976047356,1.7550628977792542
3264c85c-194,swad gomantak,Chicken Thali With Prawns Fry,237.20311460058127,0.7,model_regressor,237.20311460058127,1.749964710642928
3264c85c-200,swad gomantak,Chicken Thali With Bangda Fry,237.20979648058707,0.7,model_regressor,237.20979648058707,1.7432828306371277
3264c85c-219,swad gomantak,Veg Kolhapuri Biryani,217.33906903748579,0.7,model_regressor,217.33906903748579,1.7425590005861977
3264c85c-224,swad gomantak,Chicken Soup,201.19019080507326,0.7,model_regressor,201.19019080507326,1.7369023337628562
3264c85c-174,swad gomantak,Surmai Tawa Fry,230.22707295194883,0.7,model_regressor,230.22707295194883,1.6959197063039824
51ef1dc9-61,healthybee,Paneer Brown Rice Bowl,242.08958967761373,0.7,model_regressor,242.08958967761373,1.675033170659873
3264c85c-99,swad gomantak,Egg Thali,230.612973267241,0.7,model_regressor,230.612973267241,1.6572586683607824
3264c85c-169,swad gomantak,Prawns Chilli,230.27263125228876,0.7,model_regressor,230.27263125228876,1.6503614059640483
3264c85c-230,swad gomantak,Mutton Clear Soup,230.28401785218307,0.7,model_regressor,230.28401785218307,1.63897480606974
51ef1dc9-69,healthybee,Pomegranate Juice [sugar-free],168.92186519993388,0.7,model_regressor,168.92186519993388,1.6356023066414025
3264c85c-165,swad gomantak,Fish Fingers [6 Pieces],255.6157740394724,0.7,model_regressor,255.6157740394724,1.6329994525314078
ac4ec427-396,shree krishna veg es,Fruit Plate With Cream,169.38911668015209,0.7,model_regressor,169.38911668015209,1.6286414348484755
51ef1dc9-11,healthybee,Purple Rice,168.7589650705628,0.7,model_regressor,168.7589650705628,1.6178771196088633
ac4ec427-291,shree krishna veg es,Dum Biryani,187.96740433399614,0.7,model_regressor,187.96740433399614,1.6035188255546586
3264c85c-148,swad gomantak,Veg Tawa,239.85464649076405,0.7,model_regressor,239.85464649076405,1.5948606322151306
3264c85c-189,swad gomantak,Mirgund Papad,230.33011995492254,0.7,model_regressor,230.33011995492254,1.592872703330272
51ef1dc9-86,healthybee,Classic Lemonade,168.87164907261825,0.7,model_regressor,168.87164907261825,1.5853861793257806
3264c85c-220,swad gomantak,Crab Lasuni Biryani,208.37872442753803,0.7,model_regressor,208.37872442753803,1.580362719113623
3264c85c-131,swad gomantak,Mutton Curry,191.13725819233764,0.7,model_regressor,191.13725819233764,1.576706862170795
3264c85c-133,swad gomantak,Mutton Vade,230.35911181698702,0.7,model_regressor,230.35911181698702,1.5638808412657852
3264c85c-202,swad gomantak,Kolambi Bhaat,230.37735367469583,0.7,model_regressor,230.37735367469583,1.5456389835569837
ac4ec427-351,shree krishna veg es,Cheese Butter,195.7751706760605,0.7,model_regressor,195.7751706760605,1.5429171558953385
3264c85c-137,swad gomantak,Mutton Tawa Dry,230.3911060544117,0.7,model_regressor,230.3911060544117,1.5318866038411159
3264c85c-111,swad gomantak,Chicken Curry,174.7610312241648,0.7,model_regressor,174.7610312241648,1.509488896813167
51ef1dc9-87,healthybee,P P L Detox [sugar-free],168.7920555135592,0.7,model_regressor,168.7920555135592,1.5057926202667318
3264c85c-218,swad gomantak,Bangda Fry Masala Biryani,196.35060533966129,0.7,model_regressor,196.35060533966129,1.4654917147851165
ac4ec427-327,shree krishna veg es,Khada Bhaji,190.12048110185592,0.7,model_regressor,190.12048110185592,1.4226986749808361
51ef1dc9-56,healthybee,Double Deck Chicken Omelette,157.17348246073283,0.7,model_regressor,157.17348246073283,1.4152221774440363
ac4ec427-446,shree krishna veg es,Pineapple Kaitha,190.0993885915898,0.7,model_regressor,190.0993885915898,1.401606164714707
3264c85c-216,swad gomantak,Mutton Kolhapuri Biryani,208.19266822038477,0.7,model_regressor,208.19266822038477,1.394306511960366
ac4ec427-356,shree krishna veg es,Pudina Roti,190.09202471511702,0.7,model_regressor,190.09202471511702,1.3942422882419407
ac4ec427-333,shree krishna veg es,Jain Palak Paneer,232.59862403366037,0.7,model_regressor,232.59862403366037,1.3865419339870186
3264c85c-135,swad gomantak,Mutton Maratha Handi,228.13177811161864,0.7,model_regressor,228.13177811161864,1.3757555894313782
ac4ec427-293,shree krishna veg es,Paneer Pulao,217.76198696429788,0.7,model_regressor,217.76198696429788,1.3582984557421867
ac4ec427-430,shree krishna veg es,Mashroom Corn Grill S/W,169.09927299435225,0.7,model_regressor,169.09927299435225,1.3387977490486378
ac4ec427-424,shree krishna veg es,Jam Toast,190.02789162609926,0.7,model_regressor,190.02789162609926,1.3301091992241822
ac4ec427-393,shree krishna veg es,Dry Fruit Falooda,169.07640143112073,0.7,model_regressor,169.07640143112073,1.3159261858171192
51ef1dc9-9,healthybee,Chicken Tikka Sandwich,150.25358348225996,0.7,model_regressor,150.25358348225996,1.311535007700627
ac4ec427-286,shree krishna veg es,Veg Biryani,195.15217838155235,0.7,model_regressor,195.15217838155235,1.2959635848991695
3264c85c-172,swad gomantak,Tossed Prawns,230.65782221130846,0.7,model_regressor,230.65782221130846,1.265170446944353
3264c85c-150,swad gomantak,Lasooni Dal,190.27192427258697,0.7,model_regressor,190.27192427258697,1.2391068883634944
51ef1dc9-21,healthybee,Veg Sandwich,194.36264785734798,0.7,model_regressor,194.36264785734798,1.2285424674673493
3264c85c-227,swad gomantak,Potato Bhaji,230.6959726045221,0.7,model_regressor,230.6959726045221,1.2270200537307119
3264c85c-186,swad gomantak,Crab Curry,190.78357169219967,0.7,model_regressor,190.78357169219967,1.2230203620328268
ac4ec427-421,shree krishna veg es,Veg Grill S/W,197.87093110029193,0.7,model_regressor,197.87093110029193,1.220365982534787
ac4ec427-316,shree krishna veg es,Plain Pav Bhaji,189.91430054558606,0.7,model_regressor,189.91430054558606,1.2165181187109795
3264c85c-101,swad gomantak,Surmai Curry,190.7704578305911,0.7,model_regressor,190.7704578305911,1.2099065004242675
ac4ec427-431,shree krishna veg es,Veg Fingers,197.89472849260824,0.7,model_regressor,197.89472849260824,1.196568590218476
3264c85c-118,swad gomantak,Chicken Maratha Handi,211.09637896054417,0.7,model_regressor,211.09637896054417,1.1943669177876757
3264c85c-228,swad gomantak,Veg Soup,240.25586382495604,0.7,model_regressor,240.25586382495604,1.1936432980231473
3264c85c-184,swad gomantak,Crab Sukka,230.73015747762562,0.7,model_regressor,230.73015747762562,1.1928351806271849
3264c85c-113,swad gomantak,Chicken Maratha Curry,175.2295695357202,0.7,model_regressor,175.2295695357202,1.1901569527193203
3264c85c-201,swad gomantak,Chicken Thali With Bombil Fry,237.76705823255986,0.7,model_regressor,237.76705823255986,1.1860210786643393
3264c85c-126,swad gomantak,Pomfret Curry,190.7461532658589,0.7,model_regressor,190.7461532658589,1.1856019356920626
51ef1dc9-62,healthybee,Veg Brown Rice Bowl,207.43630707400135,0.7,model_regressor,207.43630707400135,1.1771593676226644
3264c85c-129,swad gomantak,Bangda Curry,190.73355781748194,0.7,model_regressor,190.73355781748194,1.1730064873150923
ac4ec427-442,shree krishna veg es,Malai Kulfi,189.83736659600055,0.7,model_regressor,189.83736659600055,1.1395841691254702
ac4ec427-322,shree krishna veg es,Cheese Tawa Pulav,189.83402948813026,0.7,model_regressor,189.83402948813026,1.136247061255176
ac4ec427-239,shree krishna veg es,Paneer Tawa Masala..,209.71289103931966,0.7,model_regressor,209.71289103931966,1.1169229480381944
3264c85c-122,swad gomantak,Tisrya Curry,190.676696074856,0.7,model_regressor,190.676696074856,1.1161447446891657
3264c85c-222,swad gomantak,Chicken Chilli,200.56041581608798,0.7,model_regressor,200.56041581608798,1.107127344777581
3264c85c-153,swad gomantak,Shev Bhaji,230.81846135222474,0.7,model_regressor,230.81846135222474,1.1045313060280648
3264c85c-97,swad gomantak,Mandeli Thali,262.85745884806863,0.7,model_regressor,262.85745884806863,1.090895148316065
51ef1dc9-75,healthybee,Quinoa Chickpea Tabbouleh Salad,221.62331132006463,0.7,model_regressor,221.62331132006463,1.0708843622256552
ac4ec427-376,shree krishna veg es,Sweet Corn Soup,168.80870555585034,0.7,model_regressor,168.80870555585034,1.048230310546728
ac4ec427-406,shree krishna veg es,Spl. Mastani (Strawberry).,179.70171774929514,0.7,model_regressor,179.70171774929514,1.0424536845384011
51ef1dc9-24,healthybee,Boiled Egg Sandwich,144.77984556729524,0.7,model_regressor,144.77984556729524,1.0391415074752501
51ef1dc9-63,healthybee,Egg Brown Rice Bowl,182.54893481871667,0.7,model_regressor,182.54893481871667,1.0348236691615398
51ef1dc9-4,healthybee,Protein Rich Chickpea Curry Brown Rice Meal Box,208.07234834996595,0.7,model_regressor,208.07234834996595,1.0154182762537687
3264c85c-235,swad gomantak,Vada [2 Pieces],235.8830507785235,0.7,model_regressor,235.8830507785235,0.9983447005393771
3264c85c-195,swad gomantak,Chicken Thali With Surmai Fry,237.9549886047405,0.7,model_regressor,237.9549886047405,0.9980907064837083
ac4ec427-298,shree krishna veg es,Jeera Rice,181.42104476819972,0.7,model_regressor,181.42104476819972,0.9842000864530007
3264c85c-187,swad gomantak,Solkadi,230.93914922289497,0.7,model_regressor,230.93914922289497,0.9838434353578407
